Organization,Category,Item,Week,Starting_Quantity,Incoming,Outgoing
Hope Foundation,Food,Beans,90,563,113,136
Hope Foundation,Food,Beans,91,581,118,100
Hope Foundation,Food,Beans,92,620,97,58
Hope Foundation,Food,Beans,93,599,53,74
Hope Foundation,Food,Beans,94,624,113,88
Hope Foundation,Food,Beans,95,607,66,83
Hope Foundation,Food,Beans,96,679,141,69
Hope Foundation,Food,Beans,97,736,142,85
Hope Foundation,Food,Beans,98,653,55,138
Hope Foundation,Food,Beans,99,676,86,63
Hope Foundation,Food,Beans,100,666,142,152
Hope Foundation,Food,Beans,101,669,95,92
Hope Foundation,Food,Beans,102,675,144,138
Hope Foundation,Food,Beans,103,648,109,136
Hope Foundation,Food,Beans,104,636,112,124
Hope Foundation,Food,Canned Tuna,1,779,136,72
Hope Foundation,Food,Canned Tuna,2,838,116,57
Hope Foundation,Food,Canned Tuna,3,767,74,145
Hope Foundation,Food,Canned Tuna,4,818,144,93
Hope Foundation,Food,Canned Tuna,5,819,107,106
Hope Foundation,Food,Canned Tuna,6,851,95,63
Hope Foundation,Food,Canned Tuna,7,846,81,86
Hope Foundation,Food,Canned Tuna,8,919,135,62
Hope Foundation,Food,Canned Tuna,9,968,115,66
Hope Foundation,Food,Canned Tuna,10,890,51,129
Hope Foundation,Food,Canned Tuna,11,813,66,143
Hope Foundation,Food,Canned Tuna,12,847,82,48
Hope Foundation,Food,Canned Tuna,13,782,92,157
Hope Foundation,Food,Canned Tuna,14,801,97,78
Hope Foundation,Food,Canned Tuna,15,862,142,81
Hope Foundation,Food,Canned Tuna,16,799,75,138
Hope Foundation,Food,Canned Tuna,17,834,99,64
Hope Foundation,Food,Canned Tuna,18,855,73,52
Hope Foundation,Food,Canned Tuna,19,918,109,46
Hope Foundation,Food,Canned Tuna,20,949,106,75
Hope Foundation,Food,Canned Tuna,21,984,94,59
Hope Foundation,Food,Canned Tuna,22,1051,114,47
Hope Foundation,Food,Canned Tuna,23,1063,65,53
Hope Foundation,Food,Canned Tuna,24,1034,125,154
Hope Foundation,Food,Canned Tuna,25,1116,136,54
Hope Foundation,Food,Canned Tuna,26,1120,141,137
Hope Foundation,Food,Canned Tuna,27,1164,115,71
Hope Foundation,Food,Canned Tuna,28,1198,136,102
Hope Foundation,Food,Canned Tuna,29,1243,135,90
Hope Foundation,Food,Canned Tuna,30,1220,74,97
Hope Foundation,Food,Canned Tuna,31,1231,112,101
Hope Foundation,Food,Canned Tuna,32,1205,71,97
Hope Foundation,Food,Canned Tuna,33,1187,107,125
Hope Foundation,Food,Canned Tuna,34,1194,98,91
Hope Foundation,Food,Canned Tuna,35,1176,91,109
Hope Foundation,Food,Canned Tuna,36,1147,64,93
Hope Foundation,Food,Canned Tuna,37,1116,109,140
Hope Foundation,Food,Canned Tuna,38,1215,146,47
Hope Foundation,Food,Canned Tuna,39,1218,102,99
Hope Foundation,Food,Canned Tuna,40,1130,54,142
Hope Foundation,Food,Canned Tuna,41,1202,117,45
Hope Foundation,Food,Canned Tuna,42,1192,145,155
Hope Foundation,Food,Canned Tuna,43,1249,143,86
Hope Foundation,Food,Canned Tuna,44,1303,148,94
Hope Foundation,Food,Canned Tuna,45,1301,89,91
Hope Foundation,Food,Canned Tuna,46,1314,65,52
Hope Foundation,Food,Canned Tuna,47,1335,79,58
Hope Foundation,Food,Canned Tuna,48,1242,66,159
Hope Foundation,Food,Canned Tuna,49,1296,112,58
Hope Foundation,Food,Canned Tuna,50,1340,141,97
Hope Foundation,Food,Canned Tuna,51,1315,104,129
Hope Foundation,Food,Canned Tuna,52,1298,139,156
Hope Foundation,Food,Canned Tuna,53,1347,111,62
Hope Foundation,Food,Canned Tuna,54,1354,58,51
Hope Foundation,Food,Canned Tuna,55,1307,50,97
Hope Foundation,Food,Canned Tuna,56,1207,50,150
Hope Foundation,Food,Canned Tuna,57,1155,83,135
Hope Foundation,Food,Canned Tuna,58,1124,97,128
Hope Foundation,Food,Canned Tuna,59,1119,50,55
Hope Foundation,Food,Canned Tuna,60,1087,110,142
Hope Foundation,Food,Canned Tuna,61,1098,113,102
Hope Foundation,Food,Canned Tuna,62,1155,118,61
Hope Foundation,Food,Canned Tuna,63,1139,142,158
Hope Foundation,Food,Canned Tuna,64,1140,116,115
Hope Foundation,Food,Canned Tuna,65,1160,75,55
Hope Foundation,Food,Canned Tuna,66,1120,100,140
Hope Foundation,Food,Canned Tuna,67,1159,135,96
Hope Foundation,Food,Canned Tuna,68,1120,78,117
Hope Foundation,Food,Canned Tuna,69,1153,141,108
Hope Foundation,Food,Canned Tuna,70,1097,96,152
Hope Foundation,Food,Canned Tuna,71,1091,143,149
Hope Foundation,Food,Canned Tuna,72,1047,111,155
Hope Foundation,Food,Canned Tuna,73,1050,118,115
Hope Foundation,Food,Canned Tuna,74,986,65,129
Hope Foundation,Food,Canned Tuna,75,1038,139,87
Hope Foundation,Food,Canned Tuna,76,1094,134,78
Hope Foundation,Food,Canned Tuna,77,1171,149,72
Hope Foundation,Food,Canned Tuna,78,1174,143,140
Hope Foundation,Food,Canned Tuna,79,1197,72,49
Hope Foundation,Food,Canned Tuna,80,1176,118,139
Hope Foundation,Food,Canned Tuna,81,1168,83,91
Hope Foundation,Food,Canned Tuna,82,1263,144,49
Hope Foundation,Food,Canned Tuna,83,1234,68,97
Hope Foundation,Food,Canned Tuna,84,1339,145,40
Hope Foundation,Food,Canned Tuna,85,1309,118,148
Hope Foundation,Food,Canned Tuna,86,1307,53,55
Hope Foundation,Food,Canned Tuna,87,1261,73,119
Hope Foundation,Food,Canned Tuna,88,1160,51,152
Hope Foundation,Food,Canned Tuna,89,1230,141,71
Hope Foundation,Food,Canned Tuna,90,1247,140,123
Hope Foundation,Food,Canned Tuna,91,1269,73,51
Hope Foundation,Food,Canned Tuna,92,1294,99,74
Hope Foundation,Food,Canned Tuna,93,1304,82,72
Hope Foundation,Food,Canned Tuna,94,1324,110,90
Hope Foundation,Food,Canned Tuna,95,1276,92,140
Hope Foundation,Food,Canned Tuna,96,1231,61,106
Hope Foundation,Food,Canned Tuna,97,1273,114,72
Hope Foundation,Food,Canned Tuna,98,1249,89,113
Hope Foundation,Food,Canned Tuna,99,1258,92,83
Hope Foundation,Food,Canned Tuna,100,1284,78,52
Hope Foundation,Food,Canned Tuna,101,1211,61,134
Hope Foundation,Food,Canned Tuna,102,1265,95,41
Hope Foundation,Food,Canned Tuna,103,1223,84,126
Hope Foundation,Food,Canned Tuna,104,1224,130,129
Hope Foundation,Food,Pasta,1,640,142,65
Hope Foundation,Food,Pasta,2,634,123,129
Hope Foundation,Food,Pasta,3,563,83,154
Hope Foundation,Food,Pasta,4,512,56,107
Hope Foundation,Food,Pasta,5,463,107,156
Hope Foundation,Food,Pasta,6,519,124,68
Hope Foundation,Food,Pasta,7,476,85,128
Hope Foundation,Food,Pasta,8,471,70,75
Hope Foundation,Food,Pasta,9,390,59,140
Hope Foundation,Food,Pasta,10,449,122,63
Hope Foundation,Food,Pasta,11,424,113,138
Hope Foundation,Food,Pasta,12,384,98,138
Hope Foundation,Food,Pasta,13,348,85,121
Hope Foundation,Food,Pasta,14,430,145,63
Hope Foundation,Food,Pasta,15,401,72,101
Hope Foundation,Food,Pasta,16,470,145,76
Hope Foundation,Food,Pasta,17,379,61,152
Hope Foundation,Food,Pasta,18,431,104,52
Hope Foundation,Food,Pasta,19,375,72,128
Hope Foundation,Food,Pasta,20,379,148,144
Hope Foundation,Food,Pasta,21,402,79,56
Hope Foundation,Food,Pasta,22,390,111,123
Hope Foundation,Food,Pasta,23,403,138,125
Hope Foundation,Food,Pasta,24,367,62,98
Hope Foundation,Food,Pasta,25,347,68,88
Hope Foundation,Food,Pasta,26,445,149,51
Hope Foundation,Food,Pasta,27,411,110,144
Hope Foundation,Food,Pasta,28,364,68,115
Hope Foundation,Food,Pasta,29,312,58,110
Hope Foundation,Food,Pasta,30,272,77,117
Hope Foundation,Food,Pasta,31,325,144,91
Hope Foundation,Food,Pasta,32,307,132,150
Hope Foundation,Food,Pasta,33,216,65,156
Hope Foundation,Food,Pasta,34,196,118,138
Hope Foundation,Food,Pasta,35,193,61,64
Hope Foundation,Food,Pasta,36,170,101,124
Hope Foundation,Food,Pasta,37,227,149,92
Hope Foundation,Food,Pasta,38,244,72,55
Hope Foundation,Food,Pasta,39,272,106,78
Hope Foundation,Food,Pasta,40,293,102,81
Hope Foundation,Food,Pasta,41,322,107,78
Hope Foundation,Food,Pasta,42,251,63,134
Hope Foundation,Food,Pasta,43,231,54,74
Hope Foundation,Food,Pasta,44,235,136,132
Hope Foundation,Food,Pasta,45,302,124,57
Hope Foundation,Food,Pasta,46,379,125,48
Hope Foundation,Food,Pasta,47,405,123,97
Hope Foundation,Food,Pasta,48,330,66,141
Hope Foundation,Food,Pasta,49,301,56,85
Hope Foundation,Food,Pasta,50,284,62,79
Hope Foundation,Food,Pasta,51,327,91,48
Hope Foundation,Food,Pasta,52,360,99,66
Hope Foundation,Food,Pasta,53,431,115,44
Hope Foundation,Food,Pasta,54,433,78,76
Hope Foundation,Food,Pasta,55,398,87,122
Hope Foundation,Food,Pasta,56,304,57,151
Hope Foundation,Food,Pasta,57,293,114,125
Hope Foundation,Food,Pasta,58,249,66,110
Hope Foundation,Food,Pasta,59,303,138,84
Hope Foundation,Food,Pasta,60,281,53,75
Hope Foundation,Food,Pasta,61,330,119,70
Hope Foundation,Food,Pasta,62,298,68,100
Hope Foundation,Food,Pasta,63,323,103,78
Hope Foundation,Food,Pasta,64,350,140,113
Hope Foundation,Food,Pasta,65,431,139,58
Hope Foundation,Food,Pasta,66,413,88,106
Hope Foundation,Food,Pasta,67,455,94,52
Hope Foundation,Food,Pasta,68,499,141,97
Hope Foundation,Food,Pasta,69,437,69,131
Hope Foundation,Food,Pasta,70,458,121,100
Hope Foundation,Food,Pasta,71,506,88,40
Hope Foundation,Food,Pasta,72,442,52,116
Hope Foundation,Food,Pasta,73,482,141,101
Hope Foundation,Food,Pasta,74,442,112,152
Hope Foundation,Food,Pasta,75,421,74,95
Hope Foundation,Food,Pasta,76,426,82,77
Hope Foundation,Food,Pasta,77,384,55,97
Hope Foundation,Food,Pasta,78,393,93,84
Hope Foundation,Food,Pasta,79,390,81,84
Hope Foundation,Food,Pasta,80,414,110,86
Hope Foundation,Food,Pasta,81,365,70,119
Hope Foundation,Food,Pasta,82,385,134,114
Hope Foundation,Food,Pasta,83,332,85,138
Hope Foundation,Food,Pasta,84,341,68,59
Hope Foundation,Food,Pasta,85,390,106,57
Hope Foundation,Food,Pasta,86,342,96,144
Hope Foundation,Food,Pasta,87,387,98,53
Hope Foundation,Food,Pasta,88,381,64,70
Hope Foundation,Food,Pasta,89,275,50,156
Hope Foundation,Food,Pasta,90,221,103,157
Hope Foundation,Food,Pasta,91,218,52,55
Hope Foundation,Food,Pasta,92,258,136,96
Hope Foundation,Food,Pasta,93,331,124,51
Hope Foundation,Food,Pasta,94,319,123,135
Hope Foundation,Food,Pasta,95,273,65,111
Hope Foundation,Food,Pasta,96,335,125,63
Hope Foundation,Food,Pasta,97,256,77,156
Hope Foundation,Food,Pasta,98,182,57,131
Hope Foundation,Food,Pasta,99,138,85,129
Hope Foundation,Food,Pasta,100,98,57,97
Hope Foundation,Food,Pasta,101,118,109,89
Hope Foundation,Food,Pasta,102,64,77,131
Hope Foundation,Food,Pasta,103,15,90,139
Hope Foundation,Food,Pasta,104,62,113,66
Hope Foundation,Food,Cooking Oil,1,700,66,112
Hope Foundation,Food,Cooking Oil,2,626,82,156
Hope Foundation,Food,Cooking Oil,3,643,133,116
Hope Foundation,Food,Cooking Oil,4,633,141,151
Hope Foundation,Food,Cooking Oil,5,659,78,52
Hope Foundation,Food,Cooking Oil,6,680,95,74
Hope Foundation,Food,Cooking Oil,7,614,55,121
Hope Foundation,Food,Cooking Oil,8,646,118,86
Hope Foundation,Food,Cooking Oil,9,615,74,105
Hope Foundation,Food,Cooking Oil,10,579,59,95
Hope Foundation,Food,Cooking Oil,11,505,79,153
Hope Foundation,Food,Cooking Oil,12,401,54,158
Hope Foundation,Food,Cooking Oil,13,326,82,157
Hope Foundation,Food,Cooking Oil,14,383,114,57
Hope Foundation,Food,Cooking Oil,15,378,145,150
Hope Foundation,Food,Cooking Oil,16,426,98,50
Hope Foundation,Food,Cooking Oil,17,495,134,65
Hope Foundation,Food,Cooking Oil,18,479,112,128
Hope Foundation,Food,Cooking Oil,19,516,135,98
Hope Foundation,Food,Cooking Oil,20,504,76,88
Hope Foundation,Food,Cooking Oil,21,558,126,72
Hope Foundation,Food,Cooking Oil,22,561,147,144
Hope Foundation,Food,Cooking Oil,23,669,148,40
Hope Foundation,Food,Cooking Oil,24,588,70,151
Hope Foundation,Food,Cooking Oil,25,647,104,45
Hope Foundation,Food,Cooking Oil,26,668,141,120
Hope Foundation,Food,Cooking Oil,27,652,118,134
Hope Foundation,Food,Cooking Oil,28,565,54,141
Hope Foundation,Food,Cooking Oil,29,525,52,92
Hope Foundation,Food,Cooking Oil,30,457,72,140
Hope Foundation,Food,Cooking Oil,31,483,102,76
Hope Foundation,Food,Cooking Oil,32,493,123,113
Hope Foundation,Food,Cooking Oil,33,569,132,56
Hope Foundation,Food,Cooking Oil,34,586,134,117
Hope Foundation,Food,Cooking Oil,35,559,122,149
Hope Foundation,Food,Cooking Oil,36,519,50,90
Hope Foundation,Food,Cooking Oil,37,497,94,116
Hope Foundation,Food,Cooking Oil,38,449,53,101
Hope Foundation,Food,Cooking Oil,39,411,114,152
Hope Foundation,Food,Cooking Oil,40,419,81,73
Hope Foundation,Food,Cooking Oil,41,426,141,134
Hope Foundation,Food,Cooking Oil,42,469,121,78
Hope Foundation,Food,Cooking Oil,43,471,75,73
Hope Foundation,Food,Cooking Oil,44,417,103,157
Hope Foundation,Food,Cooking Oil,45,380,52,89
Hope Foundation,Food,Cooking Oil,46,337,61,104
Hope Foundation,Food,Cooking Oil,47,293,103,147
Hope Foundation,Food,Cooking Oil,48,214,54,133
Hope Foundation,Food,Cooking Oil,49,261,143,96
Hope Foundation,Food,Cooking Oil,50,176,66,151
Hope Foundation,Food,Cooking Oil,51,210,96,62
Hope Foundation,Food,Cooking Oil,52,198,128,140
Hope Foundation,Food,Cooking Oil,53,279,134,53
Hope Foundation,Food,Cooking Oil,54,280,115,114
Hope Foundation,Food,Cooking Oil,55,238,100,142
Hope Foundation,Food,Cooking Oil,56,222,87,103
Hope Foundation,Food,Cooking Oil,57,292,147,77
Hope Foundation,Food,Cooking Oil,58,254,99,137
Hope Foundation,Food,Cooking Oil,59,316,131,69
Hope Foundation,Food,Cooking Oil,60,314,128,130
Hope Foundation,Food,Cooking Oil,61,312,100,102
Hope Foundation,Food,Cooking Oil,62,368,147,91
Hope Foundation,Food,Cooking Oil,63,319,87,136
Hope Foundation,Food,Cooking Oil,64,338,137,118
Hope Foundation,Food,Cooking Oil,65,259,79,158
Hope Foundation,Food,Cooking Oil,66,239,100,120
Hope Foundation,Food,Cooking Oil,67,225,54,68
Hope Foundation,Food,Cooking Oil,68,229,53,49
Hope Foundation,Food,Cooking Oil,69,278,105,56
Hope Foundation,Food,Cooking Oil,70,345,123,56
Hope Foundation,Food,Cooking Oil,71,351,133,127
Hope Foundation,Food,Cooking Oil,72,396,118,73
Hope Foundation,Food,Cooking Oil,73,359,55,92
Hope Foundation,Food,Cooking Oil,74,358,115,116
Hope Foundation,Food,Cooking Oil,75,299,92,151
Hope Foundation,Food,Cooking Oil,76,269,124,154
Hope Foundation,Food,Cooking Oil,77,247,72,94
Hope Foundation,Food,Cooking Oil,78,242,129,134
Hope Foundation,Food,Cooking Oil,79,209,124,157
Hope Foundation,Food,Cooking Oil,80,227,65,47
Hope Foundation,Food,Cooking Oil,81,137,53,143
Hope Foundation,Food,Cooking Oil,82,95,53,95
Hope Foundation,Food,Cooking Oil,83,63,74,106
Hope Foundation,Food,Cooking Oil,84,102,145,106
Hope Foundation,Food,Cooking Oil,85,46,76,132
Hope Foundation,Food,Cooking Oil,86,38,81,89
Hope Foundation,Food,Cooking Oil,87,58,110,90
Hope Foundation,Food,Cooking Oil,88,66,68,60
Hope Foundation,Food,Cooking Oil,89,0,54,121
Hope Foundation,Food,Cooking Oil,90,60,141,81
Hope Foundation,Food,Cooking Oil,91,109,110,61
Hope Foundation,Food,Cooking Oil,92,70,70,109
Hope Foundation,Food,Cooking Oil,93,76,50,44
Hope Foundation,Food,Cooking Oil,94,8,61,129
Hope Foundation,Food,Cooking Oil,95,30,95,73
Hope Foundation,Food,Cooking Oil,96,11,98,117
Hope Foundation,Food,Cooking Oil,97,66,139,84
Hope Foundation,Food,Cooking Oil,98,30,76,112
Hope Foundation,Food,Cooking Oil,99,19,75,86
Hope Foundation,Food,Cooking Oil,100,4,135,150
Hope Foundation,Food,Cooking Oil,101,0,105,133
Hope Foundation,Food,Cooking Oil,102,25,112,87
Hope Foundation,Food,Cooking Oil,103,15,110,120
Hope Foundation,Food,Cooking Oil,104,15,75,75
Hope Foundation,Food,Flour,1,461,57,152
Hope Foundation,Food,Flour,2,518,148,91
Hope Foundation,Food,Flour,3,560,128,86
Hope Foundation,Food,Flour,4,540,105,125
Hope Foundation,Food,Flour,5,474,63,129
Hope Foundation,Food,Flour,6,425,77,126
Hope Foundation,Food,Flour,7,425,127,127
Hope Foundation,Food,Flour,8,328,51,148
Hope Foundation,Food,Flour,9,350,75,53
Hope Foundation,Food,Flour,10,363,108,95
Hope Foundation,Food,Flour,11,377,56,42
Hope Foundation,Food,Flour,12,300,72,149
Hope Foundation,Food,Flour,13,290,67,77
Hope Foundation,Food,Flour,14,284,148,154
Hope Foundation,Food,Flour,15,245,64,103
Hope Foundation,Food,Flour,16,225,138,158
Hope Foundation,Food,Flour,17,189,77,113
Hope Foundation,Food,Flour,18,181,88,96
Hope Foundation,Food,Flour,19,105,66,142
Hope Foundation,Food,Flour,20,111,135,129
Hope Foundation,Food,Flour,21,140,93,64
Hope Foundation,Food,Flour,22,154,66,52
Hope Foundation,Food,Flour,23,223,133,64
Hope Foundation,Food,Flour,24,291,117,49
Hope Foundation,Food,Flour,25,263,116,144
Hope Foundation,Food,Flour,26,180,67,150
Hope Foundation,Food,Flour,27,179,149,150
Hope Foundation,Food,Flour,28,241,135,73
Hope Foundation,Food,Flour,29,219,57,79
Hope Foundation,Food,Flour,30,270,132,81
Hope Foundation,Food,Flour,31,220,90,140
Hope Foundation,Food,Flour,32,184,55,91
Hope Foundation,Food,Flour,33,156,75,103
Hope Foundation,Food,Flour,34,205,147,98
Hope Foundation,Food,Flour,35,212,105,98
Hope Foundation,Food,Flour,36,191,119,140
Hope Foundation,Food,Flour,37,181,82,92
Hope Foundation,Food,Flour,38,192,71,60
Hope Foundation,Food,Flour,39,202,119,109
Hope Foundation,Food,Flour,40,122,53,133
Hope Foundation,Food,Flour,41,145,124,101
